รหัสการสั่งซื้อ,สถานะการสั่งซื้อ,เลขที่คำสั่งซื้อ,เวลาที่สั่งซื้อ,เวลาที่สั่งซื้อสำเร็จ,เวลาคลิก,ชื่อร้านค้า,ID ร้านค้า,ประเภทของร้านค้า,รหัสรายการสินค้า,ชื่อรายการสินค้า,เลขที่ โมเดล,ประเภทสินค้า,เลขที่โปรโมชั่น,L1 หมวดหมู่สากล,L2 หมวดหมู่สากล,L3 หมวดหมู่สากล,ราคา(฿),จำนวน,ประเภทข้อเสนอ,พาร์ทเนอร์ในแคมเปญ,มูลค่าซื้อ(฿),จำนวนเงินคืน(฿),อัตราคอมมิชชั่นช้อปปี้ของสินค้า,ค่าคอมมิชชั่นของช้อปปี้ต่อชิ้น(฿),อัตราคอมมิชชั่นร้านค้าของสินค้า,ค่าคอมมิชชั่นของแบรนด์์ต่อชิ้น(฿),คอมมิชชั่นสินค้าโดยรวม(฿),คอมมิชชั่นคำสั่งซื้อจาก Shopee(฿),คอมมิชชั่นคำสั่งซื้อจากผู้ขาย(฿),คอมมิชชั่นคำสั่งซื้อโดยรวม(฿),ชื่อ MCN ที่ผูกไว้,รหัสสัญญา MCN,อัตราค่าบริการ MCN,ค่าบริการ MCN(฿),อัตราค่าคอมมิชชั่นของพาร์ทเนอร์ตามข้อตกลง,ค่าคอมมิชชั่นสุทธิ(฿),สถานะสินค้า Affiliate,หมายเหตุสินค้า,ประเภทการแจกจ่าย,สถานะของผู้ซื้อ,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,ช่องทาง
2509091E1A3FYG,รอดำเนินการ,211049436279527,2025-09-08 23:50:37,,2025-09-08 07:13:00,dobee·Home,201690299,Preferred(Non-CB),23772771306,เก้าอี้สำนักงานหนัง เก้าอี้ทำงาน  Office Chair ห้องประชุม ขาเหล็ก พนักพิงหลัง,231770265440,Normal Product,,เครื่องใช้ในบ้าน,เฟอร์นิเจอร์,เก้าอี้,450,1,คอมมิชชั่นจากร้านค้า,,352,,1.50%,5.28,4.00%,0,5.28,5.28,0,5.28,,0,0.00%,0,100.00%,5.28,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01BMavk0821,,Facebook
2509091DWSJEMK,สำเร็จ,211049318278754,2025-09-08 23:48:39,2025-09-09 23:36:30,2025-09-08 15:07:24,Sunglasses,1220264,Preferred(Non-CB),516969248,Bausch & Lomb SofLens 59 คอนแทคเลนส์รายเดือน ส่วนลด อ่านรายละเอียด,125824972780,Normal Product,,กลุ่มผลิตภัณฑ์เพื่อสุขภาพ,ของใช้ส่วนตัว,ผลิตภัณฑ์เกี่ยวกับดวงตา,169,1,คอมมิชชั่นจาก Shopee,,143,,1.50%,2.145,0.00%,0,2.145,2.145,0,2.145,,0,0.00%,0,100.00%,2.145,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
2509091DWKTG4E,รอดำเนินการ,211049312255194,2025-09-08 23:48:32,,2025-09-08 22:46:44,WATER*SHOP,238389288,Preferred(Non-CB),40303305895,【ซื้อ 1 แถม 2】มาสคาร่าคิ้ว 3 มิติเนื้อครีมกันน้ำกันเหงื่อ คิ้วดูมีมิติ ธรรมชาติ พร้อมแปรงปัดคิ้ว ผลิตภัณฑ์แต่งหน้า,275272996147,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,เครื่องสําอาง,เครื่องสําอางสำหรับดวงตา,48,2,คอมมิชชั่นจาก Shopee,,86,,1.75%,1.505,0.00%,0,1.505,2.2575,0,2.2575,,0,0.00%,0,100.00%,2.2575,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01Tik0803,,Facebook
2509091DWKTG4E,รอดำเนินการ,211049312255194,2025-09-08 23:48:32,,2025-09-08 22:46:44,WATER*SHOP,238389288,Preferred(Non-CB),40303305895,【ซื้อ 1 แถม 2】มาสคาร่าคิ้ว 3 มิติเนื้อครีมกันน้ำกันเหงื่อ คิ้วดูมีมิติ ธรรมชาติ พร้อมแปรงปัดคิ้ว ผลิตภัณฑ์แต่งหน้า,275272996150,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,เครื่องสําอาง,เครื่องสําอางสำหรับดวงตา,48,1,คอมมิชชั่นจาก Shopee,,43,,1.75%,0.7525,0.00%,0,0.7525,0,0,0,,0,0.00%,0,100.00%,0,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01Tik0803,,Facebook
2509091DUABU1D,สำเร็จ,211049235227935,2025-09-08 23:47:15,2025-09-10 23:25:40,2025-09-08 23:36:02,Great Great,381248679,Preferred(Non-CB),19024720249,ครีมอาบน้ำ SHOKUBUTSU โชกุบุสซึ  Benice บีไนซ์ ครีมอาบน้ำกระชับผิว ชนิดถุงเติม  Shower Cream,191431627047,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,สบู่อาบน้ำและผลิตภัณฑ์ดูแลผิวกาย,สบู่ชำระผิวกาย,56,1,คอมมิชชั่นจากร้านค้า,,47,,1.75%,0.8225,7.00%,0,0.8225,2.6775,0,2.6775,,0,0.00%,0,100.00%,2.6775,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01BMavk0821,,Facebook
2509091DUABU1D,สำเร็จ,211049235227935,2025-09-08 23:47:15,2025-09-10 23:25:40,2025-09-08 23:36:02,Great Great,381248679,Preferred(Non-CB),24073844596,6 ซอง Bio Treatment Cream กรีนไบโอ แชมพู & ทรีทเมนต์ ครีม 8 สูตร Green bio Treatment Cream,89544135894,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,ผลิตภัณฑ์ดูแลผม,ทรีทเม้นท์บำรุงเส้นผม,47,1,คอมมิชชั่นจากร้านค้า,,41,,1.75%,0.7175,7.00%,0,0.7175,0,0,0,,0,0.00%,0,100.00%,0,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01BMavk0821,,Facebook
2509091DUABU1D,สำเร็จ,211049235227935,2025-09-08 23:47:15,2025-09-10 23:25:40,2025-09-08 23:36:02,Great Great,381248679,Preferred(Non-CB),25707926228,ไลฟ์ ลด 100 Sunsilk แชมพูซันซิล แพ็คคู่ (แชมพู+แชมพู / แชมพู+ครีมนวด ) ขนาด 300-400 มล.,245205872898,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,ผลิตภัณฑ์ดูแลผม,แชมพู,78,1,คอมมิชชั่นจากร้านค้า,,65,,1.75%,1.1375,7.00%,0,1.1375,0,0,0,,0,0.00%,0,100.00%,0,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01BMavk0821,,Facebook
2509091DMNR35H,รอดำเนินการ,211049012284192,2025-09-08 23:43:33,,2025-09-08 23:32:38,i.n.x.shop,114139645,Preferred(Non-CB),24267214430,หมวกกันน็อคใช้ได้ทั้งหญิงและชาย หมวกกันนอคเต็ม  ใส่สบาย ระบายอากาส,59750995869,Normal Product,,รถมอเตอร์ไซค์ อะไหล่และอุปกรณ์เสริมมอเตอร์ไซค์,หมวกกันน็อคและอุปกรณ์สวมใส่สำหรับขับขี่,,365,1,คอมมิชชั่นจากร้านค้า,,292,,1.75%,5.11,10.00%,0,5.11,5.11,0,5.11,,0,0.00%,0,100.00%,5.11,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01KFdika0520,,Facebook
2509091DGJ3EWR,รอดำเนินการ,211048874243469,2025-09-08 23:41:15,,2025-09-08 18:05:39,ตาตีมือ Official Store,923900789,Shopee Mall(Non-CB),23471745783,ตาตีมือ กระทะเหล็กเผาแล้ว รุ่นใหม่ EASY-COOK กระทะเหล็กเผา 34cm ไร้สารเคลือบ อบไนไตรดิ้งพิเศษ แบรนด์คนไทย,197508261444,Normal Product,,เครื่องใช้ในบ้าน,เครื่องครัว,กระทะ,590,1,คอมมิชชั่นจากร้านค้า,,435,,1.50%,6.525,7.00%,0,6.525,6.525,0,6.525,,0,0.00%,0,100.00%,6.525,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01PetKit0520,,Facebook
2509091DGG5WUR,สำเร็จ,211048872224703,2025-09-08 23:41:12,2025-09-10 14:56:18,2025-09-08 22:12:17,Crush888,1158841579,C2C(Non-CB),25209432033,Crush💘ชุดนอนเซ็กซี่ ชุดแม่บ้านคอสเพลย์ ชุเซ็กซี่maid ชุดนแนไม่ได้นอน ชุดยั่วผัว 🛒พร้อมส่งจากไทย😍🥳🥳(LSTZ),148502465439,Normal Product,,เสื้อผ้าผู้หญิง,ชุดนอน,อื่นๆ,89,1,คอมมิชชั่นจากร้านค้า,,84,,1.50%,1.26,5.00%,0,1.26,1.26,0,1.26,,0,0.00%,0,100.00%,1.26,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01jjshop0803,,Facebook
2509091DGG5WUQ,สำเร็จ,211048872224702,2025-09-08 23:41:12,2025-09-10 14:56:04,2025-09-08 22:12:17,SatinSleepwear,1211817595,C2C(Non-CB),24930342923,SatinSleepwear🤍🖤ถุงน่องตาข่ายลูกไม้เซ็กซี่ ถุงน่องสีดำสูง☁️☁️ราคาถูก ส่งจากไทยแลนด์ H8874,251289750310,Normal Product,,เสื้อผ้าผู้หญิง,ถุงเท้า และถุงน่อง,ถุงน่อง,29,1,คอมมิชชั่นจากร้านค้า,,29,,1.50%,0.435,7.00%,0,0.435,0.435,0,0.435,,0,0.00%,0,100.00%,0.435,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01jjshop0803,,Facebook
2509091DDHT4H1,ยกเลิก,211048773271952,2025-09-08 23:39:34,--,2025-09-08 23:35:42,IP One Official Store,45222406,Shopee Mall(Non-CB),29733032547,ไฮยีน ผลิตภัณฑ์ปรับผ้านุ่ม สูตรมาตรฐาน 20 ลิตร จำนวน 1 แกลลอน,188413253487,Normal Product,,เครื่องใช้ในบ้าน,อุปกรณ์ซักรีดและผลิตภัณฑ์ดูแลบ้าน,ผลิตภัณฑ์ซักรีด,450,0,คอมมิชชั่นจากร้านค้า,,0,324,1.50%,0,7.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,ยกเลิก,คำสั่งซื้อไม่ถูกต้อง.,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
2509091DDEWYV2,รอดำเนินการ,211048770256172,2025-09-08 23:39:31,,2025-09-08 21:33:47,Lotuss_official,144046792,Shopee Mall(Non-CB),22777858052,[ทั้งหมด 6 ถุง] บรีส เอกเซล น้ำยาซักผ้า สูตรเข้มข้น ขนาด 1300 มล./1350 มล. BREEZE EXCEL CONCENTRATED LIQUID DETERGENT,247066068952,Normal Product,,เครื่องใช้ในบ้าน,อุปกรณ์ซักรีดและผลิตภัณฑ์ดูแลบ้าน,ผลิตภัณฑ์ซักรีด,552,1,คอมมิชชั่นจากร้านค้า,,277,,1.50%,4.155,10.00%,0,4.155,4.155,0,4.155,,0,0.00%,0,100.00%,4.155,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m56Fazzi0830,,Facebook
2509091DDEXVGN,สำเร็จ,211048770287571,2025-09-08 23:39:30,2025-09-10 17:12:43,2025-09-08 23:37:48,happiness_mall,357933541,C2C(Non-CB),13615515649,สายนาฬิกาข้อมืออัจฉริยะ สายนาฬิกาสมาร์ทวอทช์ สำหรับ Xiaomi Mi Watch Lite,77368123611,Normal Product,,มือถือและอุปกรณ์เสริม,อุปกรณ์เสริม,อุปกรณ์เสริมอุปกรณ์สวมใส่,27,1,คอมมิชชั่นจากร้านค้า,,27,,1.50%,0.405,7.00%,0,0.405,0.795,0,0.795,,0,0.00%,0,100.00%,0.795,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Others
2509091DDEXVGN,สำเร็จ,211048770287571,2025-09-08 23:39:30,2025-09-10 17:12:43,2025-09-08 23:37:48,happiness_mall,357933541,C2C(Non-CB),13615515649,สายนาฬิกาข้อมืออัจฉริยะ สายนาฬิกาสมาร์ทวอทช์ สำหรับ Xiaomi Mi Watch Lite,77368123616,Normal Product,,มือถือและอุปกรณ์เสริม,อุปกรณ์เสริม,อุปกรณ์เสริมอุปกรณ์สวมใส่,26,1,คอมมิชชั่นจากร้านค้า,,26,,1.50%,0.39,7.00%,0,0.39,0,0,0,,0,0.00%,0,100.00%,0,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Others
2509091DBD2R0W,รอดำเนินการ,211048701203207,2025-09-08 23:38:21,,2025-09-08 23:36:16,ATC Michelin Accessories TH,786242394,Shopee Mall(Non-CB),25880374522,MICHELIN ใบปัดน้ำฝนโครงเหล็ก แพ็คเดี่ยว U-HOOK RainForce Wiper Blade (single pack 1 ชิ้น),240818851737,Normal Product,,รถยนต์ อะไหล่และอุปกรณ์เสริมรถยนต์,ชิ้นส่วนอะไหล่รถยนต์,ที่ปัดน้ำฝน และตัวชะล้าง,182,1,คอมมิชชั่นจากร้านค้า,,126,,1.75%,2.205,7.00%,8.82,11.025,3.9375,15.75,19.6875,,0,0.00%,0,100.00%,19.6875,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,สั่งซื้อในร้านค้าเดียวกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
2509091DBD2R0W,รอดำเนินการ,211048701203207,2025-09-08 23:38:21,,2025-09-08 23:36:16,ATC Michelin Accessories TH,786242394,Shopee Mall(Non-CB),25880374522,MICHELIN ใบปัดน้ำฝนโครงเหล็ก แพ็คเดี่ยว U-HOOK RainForce Wiper Blade (single pack 1 ชิ้น),240818851747,Normal Product,,รถยนต์ อะไหล่และอุปกรณ์เสริมรถยนต์,ชิ้นส่วนอะไหล่รถยนต์,ที่ปัดน้ำฝน และตัวชะล้าง,140,1,คอมมิชชั่นจากร้านค้า,,99,,1.75%,1.7325,7.00%,6.93,8.6625,0,0,0,,0,0.00%,0,100.00%,0,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,สั่งซื้อในร้านค้าเดียวกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
